seq,from_cluster,to_cluster,distance_ly
2,34cc69679bc1e8586249f7ef78140b8b5699ceb0,9161693d04c960daad7f717cd10464bbcdd80021,12914.521315
6,be670c0c22cc3e18cf02d7d064acaf8c7f05c168,c011f6de14b140b50debc264638115e1ab5dd98f,11172.465773
10,9fa6f29879a347f72a36b1d99286711879e78209,216a858c51f0cc1c9d3ea3538772a37e2a68ccb7,13216.840938
11,216a858c51f0cc1c9d3ea3538772a37e2a68ccb7,12fd302e5c54c1442a32a140547ada1cab58858f,15179.425983
13,1670ae55d1cffe3073c2935324167722f9b81ce2,e36d0f8076007fe1c425a2d6ad2ed6863048bc34,20104.994450
14,e36d0f8076007fe1c425a2d6ad2ed6863048bc34,377fca96fbb4ed5342bca5031f48be08c212c211,9917.743263
21,44adbe70738a38fb30adfdd3a509c55bfe81abdb,0b43f380f8a0572cfbcf35dae5a567d0295029ab,13749.565977
22,0b43f380f8a0572cfbcf35dae5a567d0295029ab,9daaf582a62e2fa35809dad071eb6dc527bd6239,16170.284509
23,9daaf582a62e2fa35809dad071eb6dc527bd6239,8cf0ba92d5e768cc564763974ea34e66f155aba5,31209.841849
24,8cf0ba92d5e768cc564763974ea34e66f155aba5,a39513c81f04ecdb62aef1901983be50dfde49ef,12695.869532
25,a39513c81f04ecdb62aef1901983be50dfde49ef,d89569c400954bb2db446b5bb62f87735febc013,11604.353286
26,d89569c400954bb2db446b5bb62f87735febc013,c5c02459c65fae5c0d82cca767746aa29ebbef6c,8448.415008
27,c5c02459c65fae5c0d82cca767746aa29ebbef6c,6d42675bc9983f87049fbb083c8b493ddd531084,16597.818951
28,6d42675bc9983f87049fbb083c8b493ddd531084,768a04d88bf9a64748adae3606c4528a4dd9e65f,32292.612972
29,768a04d88bf9a64748adae3606c4528a4dd9e65f,62062fd2ae24314c6847f86404d116c12149518c,23301.142055
30,62062fd2ae24314c6847f86404d116c12149518c,946c14ed52a7c375063e256a66e2c278672722a7,43808.502638
31,946c14ed52a7c375063e256a66e2c278672722a7,3047302e18f9db99f3c1db21a16400d4a9f71546,52354.983806
32,3047302e18f9db99f3c1db21a16400d4a9f71546,16abd7b05126e147f46d778a47232a3ecac66751,18679.077692
33,16abd7b05126e147f46d778a47232a3ecac66751,bd9923d15f8549ff8e4466d8e8e9dd7ce99546df,20633.278344
34,bd9923d15f8549ff8e4466d8e8e9dd7ce99546df,2d0bef500e8438546cae484cd16e151331c4365b,14600.120563
35,2d0bef500e8438546cae484cd16e151331c4365b,b82e903f83f9b8ef0015d4729f887a7371ff2799,37658.081512
