cluster_id,size,centroid_x,centroid_y,centroid_z,radius_ly,p90_radius_ly,moi_max,moi_median,min_ring_id
K12_C01,184,-8805.889946,-506.271230,19585.305367,10687.704909,6146.517516,1.000000,0.999860,00d1b48fd75b2b877190b22c197f413180d3969b
K12_C02,159,-364.618514,-37.478774,-119.180228,9344.481403,5365.114357,0.999995,0.999803,0208e90b62a23d13081af457fec9e0e42b5cd7e7
K12_C03,128,947.940186,347.546875,27482.024658,15624.559283,6103.745740,0.999997,0.999860,0026cc474fb2b6a8491d1c74d31fea4d2fd824e4
K12_C04,126,-5087.900050,-427.788938,11821.877976,9077.813592,5518.746888,0.999995,0.999821,00d6c9f23d0603e7c90f682b25f3a64fc2012664
K12_C05,100,550.432500,-17.197500,6202.484688,7632.923849,4838.014026,0.999983,0.999791,00ffaccdaef3073747d5810a919a7ae8cbe639d3
K12_C06,87,4887.967313,-210.701509,20298.203305,11132.695487,8327.422601,1.000000,0.999833,02f76993dc824e116bb60aab6379e65ee1ba4544
K12_C07,87,-5464.413434,-267.674569,34894.738506,13510.468170,8133.275888,0.999998,0.999823,01f4839d5a5ddb2c8a1fadfc484827b6a1248329
K12_C08,36,-2412.799479,-66.603299,53131.592014,24211.054625,17568.274198,0.999984,0.999770,037ef65adabf47cc19fade14343ccc044c49745b
K12_C09,32,11151.715820,4.498047,706.724609,17841.293531,11999.694622,0.999982,0.999792,0178ae128eda0c350700eb81875fc8ad24eeb25c
K12_C10,25,-15099.057500,25.880000,-2092.213750,13063.722215,9296.983999,0.999982,0.999814,0061769f2507e8016d0b89d4012e2350c26e3154
K12_C11,21,-23941.799107,95.869048,24592.178571,19230.373780,12268.267679,0.999970,0.999651,056f4edc0d4e636cdce16f51633434f891e5f33f
K12_C12,15,24382.591667,-366.150000,23903.200000,15321.825280,14935.797785,0.999989,0.999843,0375ca33ef91f6557bf790bb02e9bb9ddfc1a2a2
